Transaction Size (bytes),Number of Transactions,Architecture,Mechanism,Memory Type,Pattern,RISC-V Processor,Run Host ID,Master Grid Dimensions,Subordinate Grid Dimensions,Number of Cores,Total Bytes,Latency (cycles),Combined Bandwidth (bytes/cycle)
2048,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,141312,2x2,1x1,4,2097152,74546.0,28.1323209830172
4096,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,142336,2x2,1x1,4,4194304,148573.0,28.23059371487417
8192,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,143360,2x2,1x1,4,8388608,295432.0,28.394378401798043
16384,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,144384,2x2,1x1,4,16777216,591467.0,28.365430362133473
32768,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,145408,2x2,1x1,4,33554432,1182587.0,28.3737534743744
65536,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,146432,2x2,1x1,4,67108864,2360651.0,28.428117498096924
32,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,147456,4x4,2x2,16,512,586.0,0.8737201365187713
64,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,148480,4x4,2x2,16,1024,584.0,1.7534246575342465
128,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,149504,4x4,2x2,16,2048,578.0,3.5432525951557095
256,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,150528,4x4,2x2,16,4096,635.0,6.4503937007874015
512,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,151552,4x4,2x2,16,8192,726.0,11.28374655647383
1024,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,152576,4x4,2x2,16,16384,1207.0,13.574150787075393
2048,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,153600,4x4,2x2,16,32768,2117.0,15.478507321681626
4096,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,154624,4x4,2x2,16,65536,4086.0,16.03915810083211
8192,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,155648,4x4,2x2,16,131072,7358.0,17.81353628703452
16384,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,156672,4x4,2x2,16,262144,14716.0,17.81353628703452
32768,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,157696,4x4,2x2,16,524288,34080.0,15.384037558685446
65536,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,158720,4x4,2x2,16,1048576,73440.0,14.277995642701525
32,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,159744,4x4,2x2,16,8192,5092.0,1.6087981146897095
64,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,160768,4x4,2x2,16,16384,5151.0,3.180741603572122
128,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,161792,4x4,2x2,16,32768,5096.0,6.430141287284145
256,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,162816,4x4,2x2,16,65536,5443.0,12.040418886643396
512,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,163840,4x4,2x2,16,131072,9074.0,14.444787304386159
1024,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,164864,4x4,2x2,16,262144,17494.0,14.98479478678404
2048,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,165888,4x4,2x2,16,524288,35822.0,14.635922059069845
4096,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,166912,4x4,2x2,16,1048576,71810.0,14.602088845564685
8192,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,167936,4x4,2x2,16,2097152,145046.0,14.458530397253286
16384,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,168960,4x4,2x2,16,4194304,302916.0,13.846426071914326
32768,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,169984,4x4,2x2,16,8388608,630835.0,13.297626162150166
65536,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,171008,4x4,2x2,16,16777216,1263604.0,13.277273576215332
32,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,172032,4x4,2x2,16,131072,92244.0,1.420927106370062
64,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,173056,4x4,2x2,16,262144,90161.0,2.90750989895853
128,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,174080,4x4,2x2,16,524288,91434.0,5.734059540214799
256,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,175104,4x4,2x2,16,1048576,93715.0,11.188987888811823
512,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,176128,4x4,2x2,16,2097152,149083.0,14.067009652341314
1024,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,177152,4x4,2x2,16,4194304,303572.0,13.816504815990935
